rate_name,class,quality,bathroom,bedding,capacity,bedrooms,club,balcony,view,floor
Deluxe Pool View Room Twin,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double Room (2 Adults + 1 Child) (1 Double Bed),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Classic Three Single Room Classic Room, 3 Twin Beds, Non Smoking (3 Single)",room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Twin/Double room - Balcony - Marina view Twin/Double room - Balcony - Marina view marina,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
"Superior Room, Multiple Beds (1 Double Bed and 1 Twin Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
suite premium with garden view 2 adults,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
1 Person in 6-Bed Dormitory - Female Only (1 Twin Bed),room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe with balcony Basic rate with full-board,room,standard,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
Family room - Executive Family room - Executive,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe DELUXE DOUBLE OR TWIN WITH BALCONY,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
Superior Suite Suite - Superior,suite,superior,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Economy room with 2 twin beds twin,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Room,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Twin/Double room - Economy - Classic Twin/Double room - Economy - Classic,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Standard Room 2 Double Beds, Pool View. Includes Theme Park Access, Shuttle to MOE & Dubai Mall",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Superior double or twin room double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double DELUXE GARDEN TWIN + BREAKFAST,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Junior Suite All Inclusive,junior-suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Single STANDARD TWIN ROOM,room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Family FAMILY FANTASY,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Two Bedroom Standard Ocean 2 Bedroom,room,standard,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
Standard Standard,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Triple Standard Triple,room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
"Suite-2 Double Beds, Non-Smoking, Sofabed, Sitting Area, Full Kitchen, Work Space, Air-Conditioned",room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Twin/Double room - Garden View Twin/Double room - Garden View garden,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Executive Junior Suite with Lounge Access,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Standard Room, 1 King Bed",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
ONE BEDROOM APARTMENT Breakfast,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Tropical Tropical Deluxe Pool Access King Bed,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Standard Room, City View",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
DOUBLE STANDARD ANEX,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Standard standard №1,2 Twin beds 1,5 single bed",room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Queen Deluxe Palm Sea View Room Breakfast,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Triple Exclusive Triple Room,room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
SUPERIOR ROOM WITH BALCONY Breakfast,room,standard,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
"Club Room, 1 King Bed, Lounge access, City view (1 King Bed)",room,standard,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
Superior double Room with Inland View non-smoking,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Standard Room, 1 Queen Bed, Non Smoking (1 Queen Bed)",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Triple Triple room,room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
DELUXE ROOM Breakfast,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Room Sea View,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Executive Room With 2 Twin Beds Room Only,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double room - Premier - Private Pool Double room - Premier - Private Pool pool,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Superior Room (1 Queen Bed),room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Terrace (2 Twin Beds),room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Suite no view french bed and sofa Room Only,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Premium Room, 2 Twin Beds, Accessible",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double room Queen bed - Accessible - Tub Double room Queen bed - Accessible - Tub,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
ROVER ROOM BURJ VIEW,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Deluxe Room, 1 King Bed, Garden View (1 King Bed)",room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Villa 2 bedrooms - Grand - Sea View - Pool Villa 2 bedrooms - Grand - Sea View - Pool sea,room,undefined,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
Rover Standard Double Room,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Classic Double Room with Spa Access (1 Double),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
King Accessible Room  King Accessible Room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard triple room twin,room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
DELUXE TWIN ROOM WITH JACUZZI,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Guest Room, 2 Twin Beds, Balcony (Guest)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
Triple Triple room - Classic,room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
Skylight Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Apartments with balcony twin Twin beds,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
Economy room for two persons Twin beds,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Executive Triple Souk View With Balcony  Free Beach Transfer,25% off Food & Beverage",room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,with balcony,undefined,undefined
"Apartment, 1 Bedroom (Annex Building) (2 Twin Beds)",room,undefined,private bathroom,double/double-or-twin,double,1 bedroom,not club,no balcony,undefined,undefined
Two Bedroom Apartment TWO BEDROOM APARTMENT - CITY VIEW City,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Four-Bedroom Suite Sea View,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Plus Room,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Superior Room, 1 King Bed, Balcony, Garden View (1 King Bed)",room,standard,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
Deluxe Family Room,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Double room King bed - Fairmont - Smoking - Creek view Double room King bed - Fairmont - Smoking - Creek view,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Two Bedroom Apartment Two Bedroom Apartment,apartment,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard with terrace Half board,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Chancery House,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Guest room, 1 King or 2 Queen Guest room, 1 King or 2 Queen",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Classic Double Room Classic Room, 1 Double Bed, Non Smoking (1 Double)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Junior Suite, 1 King Bed with Sofa bed, Sea View (Balcony)",room,undefined,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
One Bedroom Premium Apartment Premium One-Bedroom Apartment,apartment,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Economy standard room double (Main Building),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Luxury LUXURY ROOM,room,luxury,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior twin King size bed,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
One Bedroom Suite-Full Kitchen,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Executive Room, Larger Guest room, 1 King Executive Room, Larger Guest room, 1 King",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard superior room twin,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
2-room standard apartment 12 Bolshaya Gruzinskaya Street,apartment,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Spacious Corner Suite Spacious Corner Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Apartments,apartment,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Deluxe Room, Kingsize",room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Double room King bed - Executive - Park View Double room King bed - Executive - Park View park,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Wellness Double twin(Non-Refundable) Non-Refundable Rate. No Amendments Permitted,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Grand GRAND OCEAN VIEW - DOUBLE Ocean,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Twin/Double room - Garden View All Inclusive,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
TWIN DELUXE ROOM WITH NILE VIEW,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
FAMILY ONE BEDROOM SUITE Breakfast,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Summum Apartment,apartment,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Alii Ocean View two double Room ALII OCEAN VIEW 2 DOUBLE BEDS (2 Double),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Senior Room senior double (1 Double),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard Standart Atrium View Room - NRF -,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Single Room, Non Smoking (1 Twin Bed)",room,standard,private bathroom,single bed,single,undefined,not club,no balcony,undefined,undefined
Family Quadruple Room (1 Queen Bed and 2 Twin Beds),room,standard,private bathroom,double/double-or-twin,quadruple,undefined,not club,no balcony,undefined,undefined
Executive Room (Golden Horn Vw) (2 Twin Beds),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double Room,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Apartment, 1 Bedroom (Privilege 2 Adults + 2 Children) (2 Twin Beds and 1 Double Sofa Bed)",room,undefined,private bathroom,double/double-or-twin,double,1 bedroom,not club,no balcony,undefined,undefined
Premier Balcony King,room,deluxe,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
Standard Room Run Of The House Standard Room Run Of The House,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Triple Deluxe Triple Room,room,deluxe,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
Deluxe Guest Room City View Breakfast,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe DELUXE LAGOON VIEW KING Lagoon,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Twin Guest Room With Nile View non-smoking,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
One Bedroom Villa ONE BEDROOM OVERWATER VILLA,villa,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Comfort DOUBLE/ TWIN Basic with breakfast and dinner,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Suite, 1 King Bed, Non Smoking (Ambassador) (1 King Bed)",suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Suite, Pool View",suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Family Apartment Quad All Inclusive,room,standard,private bathroom,double/double-or-twin,quadruple,undefined,not club,no balcony,undefined,undefined
Premium Room/2 Twinbed/38-42sqm/WiFi/LCD CityView/Safe/WorkDesk/TeaCoffeeFacility Breakfast,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Club Room, 1 King Bed (1 King Bed)",room,standard,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
Comfort Street View,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Twin room Half board (breackfast+supper),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Suite FALCON SUITE.,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Triple Room Bosphorus view (3 Twin Beds),room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
Luxe Sea View Double Queen Breakfast,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Suite Suite - Terrace - Panoramic - Golden Horn view,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Economy Twin Room,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe DELUXE WITH OUTDOOR HOT TUB AND CALDERA VIEW,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Junior suite family room with 1 double bed double,room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Double Room,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Premium Room, 2 Twin Beds, Balcony, Pool View (2 Twin Beds)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,with balcony,undefined,undefined
"Deluxe Double Room, Multiple Beds (1 Double Bed and 1 Twin Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard Basic without breakfast,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Double Room,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Deluxe Double Twin Bed Room, Park View",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard with 1 double bed Standard rate without breakfast,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"1 King Bed, Non-Smoking, Junior Suite, Sofabed, Kitchen, Microwave And Refrigerator, Full Breakfast",room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior double with waterfront view Double bed,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Classic Double or Twin Room, Sea View (1 Queen Bed)",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Sky Palm Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe DELUXE KING ROOM,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Jacuzzi Suite Jacuzzi Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"1 Double Bed, No Smoking 1 Double Bed, No Smoking",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe Pool View Room with Balcony and Jacuzzi,room,deluxe,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
Superior room with 1 double bed double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Club RAFFLES CLUB OCEAN Ocean,room,standard,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
Deluxe Triple,room,deluxe,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
Imperial Club Queen Palm View Room,room,standard,private bathroom,undefined,undefined,undefined,club,no balcony,undefined,undefined
Terrace Suite Suite - Terrace (1 Double or 1 Twin),suite,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
One Bed Room Downtown View Breakfast,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Marvellous Room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior Twin Superior Room:,room,superior,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Cool Room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Suite comfort room with 1 double bed double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Grande Accessible,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
TWIN ROOM,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Superior Double bed Twin beds Mansard room,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
DOUBLE,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double room Queen bed - Executive - Lounge area Double room Queen bed - Executive - Lounge area,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Glamping Large Room - Twin Beds Glamping Large Room - Twin Beds,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
triple/ /annex(non-smoking),room,standard,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
"Deluxe Double Room, 2 Queen Beds, Sea View",room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Triple TRIPLE DELUXE SEA VIEW Sea,room,deluxe,private bathroom,double/double-or-twin,triple,undefined,not club,no balcony,undefined,undefined
Superior SUPERIOR DOUBLE OR TWIN,room,superior,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Suite 2 bedrooms - Skyline Suite 2 bedrooms - Skyline,suite,undefined,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
Junior Suite Junior Suite with Istiklal Avenue View,junior-suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
DELUXE FAMILY SUITE Breakfast,suite,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Family FAMILY ROOM 2 ADULTS + 2 CHILDREN,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Apartments penthouse,room,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,penthouse floor
Suite - Ambassador Suite - Ambassador,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Apartment Queen Smoking Breakfast,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Apartment 1BR Apartment,apartment,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
standard with 2 separate beds,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Palm Sea View Two Queen Deluxe Room Palm Sea View Two Queen Deluxe Room,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Deluxe Room, Pool Access (1 King Bed)",room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Duplex (Suite),suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,duplex floor
Standard Standard Room Atrium View,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard Room Standard Room Double (1 Double),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
1 Person in 6-Bed Dormitory - Mixed (1 Twin Bed),room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard 2 Queen Beds with Ocean Front Ocean Front,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Standard 1 King Bed Standard Room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Junior Studio Suite,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Economy room with 1 double bed (without window) double  no window,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Mobility Accessible Apartment Suite, Roll-in Shower",suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Guest Guest Room with Balcony - King Bed,room,standard,private bathroom,undefined,undefined,undefined,not club,with balcony,undefined,undefined
Double room King bed - Grand Premier Double room King bed - Grand Premier,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard PARK ROOM,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
2 Twin Standard Waterfront View,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
"Luxury Suite Luxury Suite, 1 King Bed",suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Executive Room, 1 Queen Bed",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Classic King Room,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Suite 1 Bedroom Suite, 1 Bedroom (1 Double)",suite,undefined,private bathroom,double/double-or-twin,double,1 bedroom,not club,no balcony,undefined,undefined
Double room - Single use - Superior Breakfast,room,standard,private bathroom,single bed,double,undefined,not club,no balcony,undefined,undefined
2-room superior standard quadruple room,room,standard,private bathroom,double/double-or-twin,quadruple,undefined,not club,no balcony,undefined,undefined
Deluxe Deluxe City View Double City,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
superior double room Room Only,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
The Chamber,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Superior SUPERIOR CITY VIEW City,room,superior,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Residence Unbound ME Residence with Void View, 1 Queen Bed",room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
DELUXE 2 QUEEN Breakfast,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
room suite double,suite,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Deluxe DELUXE POOL VILLA,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Suite room with 1 double bed double,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Premium Double or Twin PREMIUM,room,premium,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Two Bedroom Apartment 2 bedroom apartment,apartment,undefined,private bathroom,undefined,undefined,2 bedroom,not club,no balcony,undefined,undefined
Superior with Shower Breakfast Included,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Family FAMILY LAGOON BEACH ROOM,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Comfort Room (2 Twin Beds),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Garden Bungalow - Double Garden Bungalow - Double,room,undefined,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Double with view (2 beds),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
3-room superior apartment double,room,superior,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Beach Suite SUITE BEACH FRONT,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Two-room Superior Basic Rate with breakfast,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Superior Room, 1 Double Bed Breakfast",room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Superior Superior Room Souq View,room,superior,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Apartment, 2 Bedrooms, Balcony, Sea View",room,undefined,private bathroom,undefined,undefined,2 bedroom,not club,with balcony,undefined,undefined
1 King Mobility Accessible W/Roll-In Shower 1 King Mob Access W/Ri Shw (1 Double),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Studio for 2,suite,undefined,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Double or Twin Room with Sea View - Free Parking | Wellness package,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Suite 1 bedroom - Signature - Resort view Suite 1 bedroom - Signature - Resort view various,suite,undefined,private bathroom,undefined,undefined,1 bedroom,not club,no balcony,undefined,undefined
Deluxe 1 King or Twin Bed Deluxe Sea View Sea,room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Classic Classic Creek View Room Creek,room,standard,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
"Deluxe Studio, Executive lounge access, Larger Studio, 1 Queen Half Board",room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Deluxe Lagoon Deluxe Room,room,deluxe,private bathroom,undefined,undefined,undefined,not club,no balcony,undefined,undefined
Classic Double or Twin Room (1 King Bed),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Twin Room Sea View,room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Grand Deluxe Twin Room Twin room - Grand Deluxe (1 Twin),room,deluxe,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
Standard Twin Beach Facing (2 Twin Beds),room,standard,private bathroom,double/double-or-twin,double,undefined,not club,no balcony,undefined,undefined
